sr,rr,t,lm,bo,rem,nr,hr,sl
91.05352610349655,22.43501043319702,97.3893131017685,12.389681577682495,96.25859719514847,104.67193096876144,3.9584531486034393,75.98301708698273,2
53.228036016225815,11.801964163780212,98.93583631515503,-0.9615877866744995,96.95528668165207,49.48600418865681,8.277036845684052,23.91053855419159,0
99.11929666996002,29.55489718914032,78.9240790605545,18.81517881155014,87.2327997982502,104.9962717294693,6.892826557159424,82.65190720558167,4
73.7456288933754,20.607213258743286,90.95605421066284,12.449967801570892,92.15619605779648,99.58636611700058,3.292732894420624,73.83993148803711,2
58.62465590238571,6.234898328781128,98.854860663414,-6.714973509311676,96.95713204145432,29.11971688270569,8.330535650253296,36.87404453754425,0
89.57833409309387,28.321199893951416,86.11509102582932,18.12680059671402,86.32758554816246,104.88004088401794,-2.579990029335022,73.80379915237427,4
54.05080683529377,11.205579102039337,98.93747353553772,-3.546490728855133,96.97547298669815,50.637376606464386,8.16507875919342,47.91707059368491,0
74.02440845966339,16.961681619286537,98.57523560523987,11.631525695323944,96.92318153381348,91.39655202627182,5.693118453025818,52.866892740130424,1
97.63522058725357,27.747606992721558,90.87448233366013,17.029447197914124,88.66034609079361,104.85878705978394,-2.1088846921920776,80.66353976726532,3
67.84804403781891,18.66784706711769,98.27995181083679,12.285723626613617,96.85470473766327,87.88736432790756,6.693122148513794,45.6816766038537,1
71.04892611503601,27.54916787147522,97.86700510978699,14.130111575126648,94.60171353816986,104.72330063581467,3.1130981147289276,69.83504593372345,2
71.68002963066101,25.303553223609924,98.94050431251526,2.9334286376833916,96.88604098558426,96.06375932693481,7.979812145233154,68.40640634298325,1
17.970096915960312,8.254727602005005,97.9351007938385,-7.815063655376434,96.9922850728035,40.55017054080963,7.020093619823456,22.220127284526825,0
47.71732157096267,15.862014688551426,98.92795646190643,-0.8591037094593048,96.95135009288788,77.96413511037827,8.637588500976562,50.76700302772224,0
97.66891121864319,26.936469435691833,90.78516244888306,18.378770887851715,88.55093789100647,104.89670813083649,4.113302975893021,78.75125676393509,3
90.84235399961472,24.808157205581665,97.74907851219177,15.75743818283081,96.51903074979782,104.50181186199188,5.823961436748505,69.43932801485062,2
63.416045904159546,14.591664612293243,98.62363791465759,1.4189230054616928,96.99027162790298,44.18999522924423,8.685163378715515,50.77544481493533,0
81.0166847705841,24.39994192123413,96.64363932609558,12.887634575366974,95.84743422269821,103.79289329051971,3.7492907345294952,65.3083735704422,2
99.39351618289948,28.63042426109314,79.02042180299759,18.54343169927597,90.16253513097763,104.90479499101639,-1.27352973818779,83.03426742553711,4
99.71686363220215,29.61537504196167,82.73747679591179,18.754018187522888,83.15369856357574,104.9873748421669,5.3424394726753235,84.01595920324326,4
51.2098091840744,13.398855894804,98.88624489307404,2.4399965032935143,96.97368395328522,43.46112102270126,7.81222128868103,25.72097510099411,0
91.72517836093903,26.844369530677795,83.53534187376499,17.076382279396057,79.06453949213028,104.89862859249115,0.3938099406659603,83.22879791259766,3
61.93156495690346,20.790022015571594,98.58744716644287,11.574304342269897,96.93924170732498,102.50994175672531,7.919384121894836,61.01555794477463,1
79.38776552677155,18.928658485412598,92.22586381435394,11.348801642656326,96.74718302488327,100.5097085237503,5.583116769790649,72.76747077703476,2
99.39363092184067,26.33649492263794,85.17760700173676,17.916175663471222,90.36941033601761,104.85394835472107,3.25949764251709,78.88286858797073,3
97.12550103664398,28.45879817008972,84.61467868089676,18.27336812019348,91.80195939540863,104.93870884180069,2.083215147256851,75.48977106809616,3
61.37705296278,18.024929732084274,98.9647980928421,8.594075977802277,96.89772111177444,92.1341809630394,7.03422886133194,64.02469411492348,1
99.00864243507385,27.983612060546875,91.54860824346542,17.423880338668823,95.07399779558182,104.94347244501114,5.031114399433136,81.38416290283203,3
76.37597650289536,20.2754003405571,95.23671209812164,9.04916325211525,96.35843348503113,104.44836616516113,5.909328103065491,73.6429163813591,2
99.24785673618317,27.779508590698242,91.31810730695724,18.058540165424347,94.71067827939987,104.85360771417618,1.5881143659353256,76.9381582736969,3
58.966486155986786,21.560834050178528,98.58705747127533,8.336211085319519,96.79280650615692,86.64033830165863,7.912667870521545,44.46350082755089,1
98.27975511550903,28.027025938034058,95.64255750179291,17.75155597925186,95.69541645050049,104.91878271102905,4.174778938293457,80.96784204244614,3
63.80046561360359,7.049721717834473,98.96516942977905,3.1636580042541027,96.99664723873138,61.773256827145815,7.933409929275513,34.79328617453575,0
69.50127974152565,16.942658215761185,98.88021421432495,1.9480070620775223,96.97454583644867,92.02965527772903,7.667509138584137,56.300130635499954,1
50.2268148586154,21.67897802591324,87.78492876887321,13.079777300357819,95.15772384405136,102.16098368167877,0.6002396866679192,69.53363299369812,2
64.54470828175545,14.558595076203346,98.77209007740021,2.498958609998226,96.97568130493164,53.10724049806595,8.689040780067444,32.96149671077728,0
96.54141753911972,26.959841132164,85.190748821944,18.195747673511505,90.18189710378647,104.84074652194977,2.0822372138500214,77.81380206346512,3
97.44727164506912,27.624462485313416,96.19488072395325,18.415094256401062,89.32015118002892,104.93401229381561,3.354632645845413,74.83233779668808,3
75.37662327289581,17.656462103128433,98.28337144851685,6.137316018342972,96.8186844587326,96.62784397602081,4.1524331867694855,57.545684948563576,1
85.1979586482048,25.862862586975098,96.48887777328491,14.96725046634674,95.24747681617737,102.56828516721725,1.495783343911171,57.77390956878662,2
92.8440272808075,26.66667103767395,90.88698846101761,17.309029042720795,87.98378390073776,104.63504254817963,2.961190402507782,75.05616217851639,3
69.28738176822662,19.06597450375557,98.94011127948761,14.67502111196518,96.8467680811882,102.97056823968887,7.022315561771393,67.2353421151638,1
43.47278238274157,13.117947429418564,98.8493857383728,2.955627493560314,96.97622311115265,72.57082030177116,8.24003952741623,33.81900027394295,0
94.00410681962967,25.63628113269806,86.7318426668644,18.332475066184998,90.40238451957703,104.95968639850616,2.1747338622808456,77.90603131055832,3
98.75369250774384,28.96123206615448,85.29150724038482,17.84963631629944,86.31276544928551,104.90999042987823,4.608169198036194,83.17334145307541,4
62.024254351854324,23.063406825065613,96.73625993728638,14.92263013124466,95.13697248697281,100.20606637001038,3.4283553063869476,68.3303490281105,2
73.43367338180542,24.333233952522278,97.05583500862122,13.567478895187378,92.55883854627609,102.38296329975128,2.812969923019409,67.23872900009155,2
73.5165673494339,18.992350697517395,98.40236616134644,9.195191651582718,96.9173191189766,100.44934540987015,7.8663718700408936,68.50507974624634,1
59.8027478158474,16.353088047355413,98.83093070983887,0.574779748916626,96.9874660372734,28.598287403583527,8.024396359920502,40.02840682864189,0
96.69323682785034,27.046388506889343,95.03993356227875,17.101571798324585,88.21290177106857,104.94192749261856,3.4771648049354553,77.55906283855438,3
99.50634717941284,29.106776118278503,82.88759809732437,17.795300126075745,72.63847452402115,104.95878517627716,0.3288125731050968,82.86411583423615,4
93.37437361478806,25.046437859535217,89.70021104812622,16.491063475608826,82.72364546358585,104.95311766862869,2.362380266189575,71.5785813331604,3
72.68219888210297,18.991596341133118,98.880526304245,3.148394111543894,96.95779275894165,72.72869646549225,7.643780708312988,62.26656809449196,1
98.70195508003235,29.142807483673096,79.96296924352646,18.847269654273987,90.78981709480286,104.99022603034973,2.100989207625389,83.81461530923843,4
61.452103704214096,19.89402437210083,94.65066647529602,9.459306538105011,94.51671254634857,103.01988333463669,2.5653277337551117,53.166546523571014,2
78.83429110050201,24.441590070724487,95.79732823371887,15.16098552942276,95.3102959394455,104.48313295841217,3.454610913991928,69.61319923400879,2
96.50822848081589,26.1936537027359,89.65649092197418,18.218225479125977,89.43992567062378,104.5164567232132,3.800063341856003,74.15492326021194,3
95.73353081941605,27.449793934822083,81.30020862817764,17.94068568944931,89.79396384954453,104.83107715845108,0.5406010374426842,79.55883115530014,3
74.56129163503647,23.400026679039,98.8817321062088,9.271154940128326,96.98934358358383,94.7255489230156,5.644767880439758,47.75406241416931,1
99.76552277803421,29.432312607765198,82.75466302037239,18.603188633918762,86.73841145634651,104.99811172485352,4.311719387769699,82.95953273773193,4
86.30250126123428,20.21589171886444,88.39052298665047,14.729513764381409,94.06330299377441,104.16759788990021,1.5758451372385025,76.68777287006378,3
86.13468736410141,24.916675209999084,88.23801761865616,16.43047147989273,90.39474558830261,104.70323771238327,2.6766589879989624,73.1571638584137,3
95.66074043512344,27.304362535476685,93.72563362121582,18.101475179195404,85.80711004137993,104.90697026252747,-0.11084254737943411,77.33709305524826,3
79.56605672836304,16.924796283245087,98.96466875076294,6.3561422526836395,96.99088138341904,71.60143241286278,8.670775473117828,35.36136910319328,0
96.88127100467682,22.267170310020447,92.08556187152863,17.534215688705444,86.47098359465599,104.92490887641907,2.2289598137140274,72.64729112386703,3
99.11162555217743,28.82353365421295,76.14972817897797,18.755475521087646,89.18837559223175,104.99641925096512,4.887753009796143,82.08195924758911,4
98.55794131755829,28.127439618110657,85.66125569492579,16.99478054046631,81.44846708327532,104.89000797271729,4.146317213773727,77.30913639068604,4
98.38183015584946,25.720315098762512,91.70631712675095,18.244409203529358,89.07494676113129,104.82157677412033,3.64627942442894,70.30426353216171,3
93.95933240652084,25.574362993240356,85.15568247623742,16.530025243759155,92.75897961854935,104.98088926076889,4.59698224067688,75.9469285607338,3
68.82613450288773,21.23007172346115,94.90423202514648,13.787101745605469,94.9249769449234,99.94152277708054,4.364565342664719,76.31452292203903,2
97.32184559106827,26.002155661582947,88.07252797484398,18.147735238075256,90.91235202550888,104.86261457204819,1.5417381674051285,79.37923550605774,3
71.52549430727959,22.14345210790634,98.83470833301544,4.574421770870686,96.98163402080536,94.7647762298584,5.894483149051666,66.8549220263958,1
68.9542618393898,25.621914982795715,97.42602622509003,13.985349178314209,93.85137271881104,103.53727877140045,6.013395667076111,73.78431022167206,2
98.68244618177414,27.84667718410492,84.1813488677144,17.260405957698822,83.64649657905102,104.97014433145523,1.946276307106018,79.16153192520142,4
69.6510124206543,19.669242024421692,97.26813542842865,7.3887844532728195,96.82160359621048,58.284650053828955,7.099489688873291,55.407423079013824,1
54.562843292951584,18.17257872223854,98.47275245189667,3.5919391699135303,96.89738315343857,96.93083971738815,8.002557814121246,59.855218678712845,1
51.33337523788214,12.34319818019867,98.65160501003265,-3.741788625717163,96.99293684959412,52.09310531616211,7.8446239829063416,39.10422012209892,0
60.069863349199295,15.043046668171883,95.1270717382431,12.999220728874207,96.60621237754822,102.38159269094467,1.5518838912248611,61.29546046257019,2
58.6738395690918,24.441383123397827,92.24647009372711,14.531960129737854,94.66990154981613,98.97469639778137,-0.21606481075286865,69.07511323690414,2
93.47521603107452,27.241473078727722,91.76940643787384,18.167430698871613,92.20292282104492,104.97574478387833,6.626743376255035,78.15195858478546,3
48.996827341616154,12.728934854269028,98.65202724933624,0.33104026317596436,96.99589443206787,34.98415768146515,7.64328396320343,49.008746817708015,0
76.8782839179039,23.847469329833984,96.25867974758148,13.960826635360718,94.26725280284882,102.44502425193787,0.2991550862789154,69.95642513036728,2
84.76287186145782,24.328702807426453,97.7019579410553,14.541986227035522,95.84930104017258,103.39706093072891,5.494214951992035,78.0981981754303,2
65.84406450390816,23.592183113098145,93.45185983181,11.135084569454193,94.34436631202698,100.4530656337738,4.3047440350055695,67.01903000473976,2
85.21583825349808,26.381295680999756,97.97850716114044,18.212281703948975,95.50202649831772,104.56297427415848,3.112037032842636,74.30554002523422,2
98.58029246330261,29.28978431224823,86.93283838033676,18.7262841463089,94.05715090036392,104.98891979455948,0.9600792154669762,82.15169131755829,4
96.11339211463928,25.869579195976257,94.31137716770172,17.51931244134903,93.73742264509201,104.94333028793335,3.2614497542381287,82.2654914855957,3
99.80474054813385,29.146220445632935,85.42448583990335,18.318542778491974,91.10794764757156,104.99112457036972,5.005665600299835,82.32615917921066,4
67.9345965385437,16.670761972665787,98.9356085062027,9.31989336013794,96.96571063995361,102.00544506311417,8.264882683753967,61.264827251434326,1
60.99659666419029,25.064347982406616,95.2200278043747,17.083212077617645,94.20593750476837,104.35138285160065,3.9118878543376923,63.6438724398613,2
84.96939867734909,27.028547644615173,98.63115811347961,17.620528280735016,96.55754548311234,104.543437063694,6.76179313659668,76.67161762714386,2
51.323755197227,12.838916718959808,98.85128915309906,-2.1720097064971924,96.99080717563629,74.16820451617241,7.8019521832466125,35.947904139757156,0
33.25818471610546,14.985817909240723,98.62632656097412,-1.3991419076919556,96.96565341949463,50.071384236216545,7.07664692401886,50.03783162916079,0
46.39776576310396,9.839808523654938,98.91785943508148,-4.4016746282577515,96.98758763074875,38.049313724040985,8.081310153007507,20.324160158634186,0
77.57447063922882,16.048498334828764,98.66756081581116,6.588910609483719,96.95615035295486,86.36958003044128,8.430310070514679,63.55347067117691,1
97.17186212539673,27.457027912139893,92.19356751441956,18.54841434955597,90.06136846542358,104.97310012578964,3.6089723110198975,80.34142166376114,3
98.82126718759537,29.15748655796051,89.55356007814407,18.76464867591858,85.84315446019173,104.9875921010971,2.988057017326355,82.59319633245468,4
84.32175636291504,21.529289186000824,98.68695962429047,10.350258588790894,96.96170610189438,94.50488090515137,7.271102786064148,62.98422887921333,1
51.69294781982899,9.620531976222992,98.96015846729279,-0.7120475769042969,96.93758767843246,79.09067630767822,8.420513570308685,42.512659803032875,0
83.49695712327957,11.367722749710083,98.60000586509705,2.2592512667179108,96.99577909708023,69.98030997812748,8.490435540676117,32.155981361866,0
90.63920050859451,27.46539008617401,80.30160057544708,17.163180351257324,92.24279206991196,104.97481673955917,3.112304985523224,80.3349357843399,3
95.16119658946991,26.863421201705933,91.4035085439682,16.06026405096054,85.90225380659103,104.65832144021988,1.158066675066948,75.52513778209686,3
43.202659357339144,21.26814377307892,95.09769940376282,14.677633583545685,94.9333221912384,103.77997040748596,1.984436497092247,76.62474155426025,2
67.51156717538834,21.591227769851685,98.78267443180084,11.829983234405518,96.96350944042206,99.20261979103088,7.403734266757965,67.79687762260437,1
63.77307087182999,11.935082614421844,98.89771378040314,4.529915262013674,96.87645298242569,96.27556800842285,8.265018939971924,71.62756860256195,1
62.291535437107086,8.28300929069519,98.45490908622742,-4.825504779815674,96.9878603219986,22.93116867542267,7.671038389205933,27.84487009048462,0
96.06739819049835,27.888233542442322,84.4437697082758,18.46197748184204,95.15630674362183,104.9878066778183,3.664921313524246,81.90741837024689,3
57.71379426121712,22.206691205501556,95.55502879619598,15.085293591022491,89.35845848917961,99.60042357444763,6.1166499853134155,75.01698613166809,2
99.90214407444,28.75926148891449,85.7011643499136,18.429010450839996,90.60271871089935,104.96402353048325,3.1519998013973236,82.27638334035873,4
49.32999890297651,11.54737764596939,98.11899268627167,0.9236039370298386,96.69021916389465,72.70906940102577,5.113966763019562,47.648672349750996,1
74.75964903831482,12.747719287872314,98.75978338718414,2.253573030233383,96.96391713619232,55.81272706389427,8.347883641719818,42.56100453436375,0
85.64391613006592,23.79672384262085,98.18346762657166,16.59639024734497,93.83554947376251,104.26433444023132,3.9993656873703003,73.39392870664597,2
96.32475763559341,27.038193225860596,92.60006380081177,17.641479015350342,88.23583912849426,104.64794129133224,1.5831439644098282,75.31225115060806,3
96.61614537239075,26.38757336139679,82.80445367097855,15.947531700134277,93.80853605270386,104.80444014072418,3.7795490026474,76.01529628038406,3
99.0631827712059,28.184417724609375,93.20785307884216,18.14147585630417,95.89735996723175,104.98926848173141,3.0697973370552063,82.19540894031525,3
78.63870054483414,22.1494043469429,91.71772885322571,12.571275174617767,94.03718453645706,99.97307360172272,1.9546072483062744,73.9281177520752,2
86.47273451089859,24.880712270736694,89.54443520307541,15.340454816818237,89.88316249847412,104.12207007408142,1.8431574404239655,74.85046654939651,2
88.91524136066437,29.05166471004486,89.03790241479874,17.734877109527588,78.9558036327362,104.69773381948471,3.16234427690506,79.84607696533203,3
99.9049174785614,29.613532543182373,83.46919779479504,18.826708734035492,89.48073145747185,104.99358147382736,4.1699745655059814,83.51487964391708,4
54.1720137745142,21.901128470897675,94.36600959300995,9.88797315955162,91.90832507610321,100.57638019323349,1.7905869483947754,53.84687464684248,2
55.74981518089771,11.801795184612274,98.7640575170517,-6.3894177079200745,96.98628407716751,39.826819002628326,7.196884989738464,28.430272340774536,0
47.521743923425674,12.17893499135971,97.4397314786911,-2.3935181498527527,96.83383536338806,50.24370811879635,6.3214457631111145,25.900879502296448,0
98.5287156701088,28.529080986976624,85.35520414635539,18.22873705625534,92.21061986684799,104.93531584739685,2.490345776081085,80.84330230951309,4
98.76586139202118,29.06670844554901,77.41462194919586,18.553081393241882,90.97623240947723,104.97007459402084,4.0305962562561035,82.87325114011765,4
73.62858861684799,18.768604338169098,98.53820204734802,10.550381779670715,96.90073949098587,98.36906433105469,6.958020329475403,62.12217539548874,1
61.076350063085556,11.010201632976532,97.12296187877655,-3.6082628965377808,96.96811211109161,37.613799422979355,7.405395090579987,41.54944412410259,0
67.6768109202385,20.64203506708145,94.7862503528595,9.15956923365593,96.55154716968536,100.66715687513351,4.086815625429153,62.20910683274269,2
86.98068708181381,23.006494641304016,92.53848528862,15.531481742858887,95.3451235294342,102.96291321516037,6.111116588115692,68.6221781373024,2
99.33710724115372,29.435685515403748,82.26512911915779,18.365009367465973,90.7408372759819,104.99274998903275,1.3006050288677216,84.11670625209808,4
97.64582574367523,28.80254602432251,92.22285640239716,17.968592286109924,89.80793815851212,104.92472648620605,2.936893343925476,80.99311590194702,4
73.50650638341904,21.729151487350464,96.55404531955719,7.68237167596817,93.6510859131813,100.17507612705231,0.3396991230547428,71.08373314142227,2
93.07179063558578,26.97276198863983,89.81146109104156,15.651436388492584,89.61514544487,104.97029453516006,1.536199539899826,78.05293887853622,3
99.18795645236969,28.85188627243042,75.60361337661743,18.548554718494415,82.73406087234616,104.95406717061996,-0.7788748070597649,82.80670046806335,4
59.92872953414917,23.348121285438538,97.34685134887695,11.46067076921463,93.30274474620819,104.03901815414429,2.183499723672867,66.0626246035099,2
64.57229807972908,18.60597398877144,98.06070864200592,-0.11638438701629639,96.98222142457962,52.0685376226902,7.454542815685272,23.439835608005524,0
56.25527627766132,13.773948967456818,98.18829250335693,-3.4104928970336914,96.94846403598785,49.360059052705765,7.8225038051605225,33.69237542152405,0
97.35156953334808,23.853420734405518,93.1142327785492,16.40639954805374,93.08113884925842,104.92919236421585,0.7773754522204399,77.43772327899933,3
98.13996374607086,29.266707181930542,79.7536541223526,17.45018297433853,76.78506103157997,104.64293897151947,0.7573321089148521,81.02818638086319,4
55.83192482590675,14.762708142399788,98.43208229541779,1.4750453233718872,96.91649478673935,77.22556471824646,6.876969873905182,47.00194839388132,1
66.49031028151512,22.566125333309174,98.7570788860321,10.192172318696976,96.82914239168167,100.33510744571686,8.383613348007202,65.92756018042564,1
59.36475321650505,15.18431481719017,98.8571228981018,-0.6256706118583679,96.99671071767807,81.39961168169975,6.396070718765259,35.04252836108208,0
99.13381606340408,27.89346146583557,82.01678022742271,17.98401767015457,89.12682068347931,104.98158931732178,0.6916764602065086,83.68035614490509,4
58.96502897143364,12.785849541425705,98.00679886341095,-0.7675858438014984,96.96767580509186,68.04822899401188,7.108820557594299,32.05526977777481,0
97.11277812719345,27.297428965568542,95.51218569278717,17.381843864917755,92.12305468320847,104.76740419864655,2.0952752977609634,78.35223227739334,3
44.97888803482056,12.08555543422699,98.83313870429993,-3.242787778377533,96.98562604188919,43.50200191140175,7.947990417480469,38.4097595512867,0
37.96822562813759,14.256051018834114,98.95724868774414,-1.006534904241562,96.9954205751419,59.09241699613631,8.146491587162018,40.458103120326996,0
31.220466196537018,6.672693729400635,97.95579469203949,-6.316555500030518,96.8592135310173,26.161953806877136,6.375586152076721,25.31586319208145,0
96.9497275352478,28.257832288742065,90.87586963176727,18.17774200439453,92.31476557254791,104.98456120491028,2.209658369421959,74.92481738328934,3
51.907002329826355,19.37833833694458,97.63944232463837,10.405062824487686,96.88740265369415,88.92476499080658,6.570077955722809,44.833111464977264,1
96.34868890047073,25.831340670585632,87.75893622636795,17.488819301128387,88.92306712269783,104.75110441446304,1.524270549416542,66.9375966489315,3
83.49859297275543,26.443477511405945,95.85856211185455,15.115288734436035,94.38507509231567,104.48896408081055,7.685425221920013,72.01623946428299,2
36.61669842898846,15.60193556547165,98.82023704051971,1.3881585150957108,96.94760572910309,40.90127572417259,7.743771314620972,35.28184354305267,0
61.14209055900574,22.09198772907257,98.9097843170166,8.71831277012825,96.97970551252365,97.73212015628815,7.801286995410919,48.491758313030005,1
71.68511748313904,16.241857144981623,97.59524655342102,10.098082661628723,96.9401107430458,94.15164470672607,6.9268412590026855,51.25546853989363,1
81.85567885637283,19.56135404109955,92.44670081138611,14.199376046657562,95.60511541366577,104.49333876371384,1.471238449215889,78.00940901041031,2
74.34308111667633,24.602383971214294,98.90878796577454,3.72645441070199,96.882333278656,80.5811020731926,8.476464986801147,51.84667970985174,1
77.18383371829987,24.602086901664734,95.81124293804169,15.980631947517395,94.4508410692215,102.80202895402908,5.143868565559387,73.11845511198044,2
98.8828918337822,28.892232656478882,74.13187825679779,18.564160704612732,85.90347465872765,104.98120039701462,0.9154642894864082,83.31042528152466,4
68.99717092514038,9.34024852514267,98.98332989215851,-2.7360755801200867,96.99876976013184,48.74244421720505,8.278333961963654,54.63413633406162,0
98.67049366235733,29.03818142414093,88.4748732149601,18.752914011478424,91.0069642663002,104.996757209301,4.360154986381531,84.37607049942017,4
57.61631369590759,22.98287260532379,97.26754295825958,5.369901597499847,96.92277294397354,96.72189027070999,6.717454612255096,65.42713567614555,1
45.686323628760874,9.750394761562347,98.88866901397705,-3.2887778282165527,96.87653523683548,54.159695729613304,6.524598956108093,30.745376646518707,0
66.89339965581894,17.186004176735878,98.9020379781723,2.7960094586014748,96.99213486909866,52.166379913687706,8.596158564090729,34.851348251104355,0
55.908882692456245,24.15477693080902,89.51940125226974,11.708503305912018,95.8163822889328,103.92062544822693,3.5722131729125977,75.15995502471924,2
85.5977189540863,23.9937527179718,93.6115630865097,13.828013479709625,95.76773685216904,99.19870913028717,6.241157591342926,74.71603006124496,2
61.72401040792465,19.450058102607727,98.77766764163971,7.5287510603666306,96.87007558345795,101.07868283987045,6.469445765018463,66.02227300405502,1
99.04324769973755,29.2009037733078,76.47127425670624,18.822746217250824,88.49557933211327,104.9306970834732,2.914524793624878,79.99710470438004,4
22.832921743392944,13.176642030477524,98.83792519569397,-3.173941284418106,96.99435305595398,49.4566185772419,8.331710994243622,29.11395162343979,0
98.2297158241272,28.439668893814087,87.7323459982872,18.48404848575592,93.86027228832245,104.976227581501,2.7849993109703064,78.2492259144783,3
62.2584430873394,12.712497770786285,98.47881484031677,6.312937676906586,96.68999922275543,75.83975180983543,4.90376204252243,43.07391159236431,1
99.64794486761093,29.459784865379333,79.07391476631165,18.722647964954376,80.66083785891533,104.99289751052856,0.15140070766210556,80.72344183921814,4
61.99838072061539,23.232770681381226,98.25561463832855,14.749678611755371,92.8207580447197,102.78858304023743,4.345094919204712,67.98178881406784,2
91.06483608484268,27.49961566925049,90.58466470241547,16.810890078544617,88.71345472335815,103.85274678468704,2.061893194913864,71.4782452583313,3
59.30270075798035,14.473168909549713,97.90943849086761,-0.9161404371261597,96.94663834571838,96.49139195680618,5.656992852687836,42.77165688574314,1
63.72663930058479,12.84326845407486,98.7702534198761,7.753401041030884,96.94029492139816,84.9589204788208,5.949196457862854,61.67876571416855,1
76.51370257139206,18.545558512210846,98.0091370344162,15.815074384212494,95.8813865184784,104.64195191860199,3.2216602563858032,77.91336417198181,2
73.3494845032692,15.531600125133991,98.43918776512146,3.9061932042241096,96.88596051931381,72.38162130117416,7.308358132839203,51.63653729483485,1
97.27246522903442,28.720755100250244,79.51724642515182,18.59216743707657,83.3571735098958,104.97430175542831,5.259429395198822,79.99542742967606,4
45.197089499561116,16.82906176149845,94.19148290157318,12.724293410778046,94.77543932199478,101.16135656833649,-1.9063079059123993,68.83825868368149,2
77.39319950342178,27.056167602539062,98.91004049777985,12.942784368991852,96.95125353336334,92.32331961393356,7.440676331520081,58.45175750553608,1
66.07029691338539,18.116310745477676,93.8910471200943,14.03350019454956,95.22489976882935,102.26196616888046,0.693286120891571,56.231780648231506,2
73.4239599108696,21.27524048089981,98.37297546863556,7.341634571552277,96.71364200115204,87.76591390371323,5.464853882789612,65.5480507016182,1
62.80574455857277,26.076867818832397,96.46230924129486,10.307379454374313,93.31871998310089,104.24942404031754,-1.6109484136104584,64.67132419347763,2
98.629230260849,27.335596561431885,89.7517905831337,18.028891026973724,87.28887271881104,104.87502247095108,2.7355991899967194,78.54875087738037,3
61.20843917131424,13.747681885957718,98.19505167007446,7.748522102832794,96.94944125413895,92.99405694007874,7.9067723751068115,50.712520610541105,1
62.225335985422134,21.514459908008575,97.63864040374756,9.461684763431549,96.7729840874672,76.04569047689438,4.304188549518585,56.83746509253979,1
81.6779974102974,20.076297402381897,94.47097277641296,13.522833526134491,93.43052875995636,96.20104014873505,2.2851423025131226,68.80621314048767,2
73.87855559587479,21.255524158477783,98.90526235103607,13.568376541137695,96.97443586587906,98.10265928506851,7.9092206954956055,54.116392247378826,1
58.36611054837704,12.299966633319855,98.88452088832855,6.3284077644348145,96.99562442302704,46.216029971838,8.099815249443054,35.72601675987244,0
77.8432646393776,20.57251286506653,98.39878630638123,14.666987895965576,95.85282188653946,104.49490517377853,4.660508751869202,76.90284997224808,2
92.9841661453247,27.4664648771286,89.07799303531647,17.19112002849579,93.23675167560577,104.97764110565186,-0.1392244677990675,80.5510726571083,3
34.36434432864189,11.163078129291534,98.81842792034149,-4.036162853240967,96.9879041314125,44.29962918162346,8.222900211811066,32.05788999795914,0
93.87751698493958,26.278116583824158,86.09291324019432,17.377944827079773,81.8774334974587,104.92429733276367,2.4278532564640045,78.33302289247513,3
96.96982651948929,26.433542370796204,91.45583325624466,17.506679236888885,91.15477812290192,104.89103525876999,-0.44107965007424355,70.62570780515671,3
99.17710542678833,27.819915890693665,84.14253607392311,18.754360616207123,91.36661809682846,104.97572600841522,3.0571247041225433,81.62585526704788,4
96.99807852506638,28.25732910633087,84.1207429766655,18.08200591802597,91.16367501020432,104.98998999595642,1.5474896281957626,81.95929914712906,3
83.42344552278519,20.831828713417053,96.89625859260559,11.079695165157318,88.85350358486176,101.39901101589203,4.73630690574646,67.87736177444458,2
70.60094431042671,22.200995564460754,97.61116981506348,14.569586157798767,93.85743898153305,102.8261286020279,0.05545453308150172,54.044031612575054,2
69.15735468268394,14.680189669132233,98.68858432769775,3.920297348871827,96.99120503664017,58.723787013441324,8.462824881076813,40.310995280742645,0
99.17227983474731,28.67524755001068,81.34491467475891,18.888040125370026,85.21554191410542,104.99015361070633,0.6691610589623451,83.003751039505,4
88.73023301362991,19.346616566181183,98.92201089859009,8.241649359464645,96.86157476902008,98.32484006881714,5.975069046020508,43.57486441731453,1
30.740932822227478,11.147071838378906,98.82047152519226,-3.6886889338493347,96.97077643871307,85.97882241010666,8.177625596523285,42.15685538947582,0
51.132484152913094,12.648672044277191,98.97120261192322,-2.633516401052475,96.99276518821716,87.07143366336823,8.485786736011505,51.782777551561594,0
88.08714091777802,27.541933059692383,96.24136877059937,16.698341012001038,95.83549928665161,96.3330826163292,5.63338029384613,58.178654834628105,2
60.21906495094299,19.29920184612274,97.93118047714233,2.1813722103834152,96.70163375139236,79.71281468868256,0.5558602251112461,52.81673017889261,1
29.232102632522583,17.866819888353348,98.31835556030273,3.494380857795477,96.96447145938873,38.02060604095459,7.782475590705872,42.69446052610874,0
82.2165983915329,17.860187143087387,98.89855575561523,13.67284768819809,96.95356917381287,102.35609829425812,6.969804883003235,62.072544544935226,1
98.99598181247711,27.843814969062805,80.42268770933151,18.682385325431824,87.24817377328873,104.96464312076569,2.293888181447983,83.35398644208908,4
93.95649343729019,26.771983861923218,84.23760990798473,17.16017895936966,87.43764993548393,104.98091071844101,2.3933367133140564,82.943594455719,4
